,,,Quantity of Water Transferred,,,,,,Prices,,,,Transfer Length,,,,Transfer Type,,,,,,,,,,,,,,
ID Code,Year,State,Minimum Annual Acre-Feet,Average Annual Acre-Feet,Maximum Annual Acre-Feet,Committed Minimum Acre-Feet,Commited Average Acre-Feet,Commited Maximum Acre-Feet,Total Price,Inflation Adjusted Total Price,Inflation Adjusted Price per Annual Acre-Foot,Inflation Adjusted Price per Committed Acre-Foot,Sale,Lease,Exchange,Lease Duration,Ag-to-Ag,Ag-to-Urban,Ag-to-Enivo,Urban-to-Ag,Urban-to-Urban,Urban-to-Enviro,Enviro-to-Ag,Enviro-to-Urban,Enviro-to-Enviro,Combination,Recycled,Unknown,Seller,Buyer,Water Strategist Issue
AZ1,1987,AZ,8,8,8,14.875283,14.875283,14.875283,2400,2400,300,161.3415,0,1,0,2,0,0,0,0,1,0,0,0,0,0,,0,TyptII groundwater,a nursery project,Dec '87
AZ2,1987,AZ,6,6,6,120,120,120,6000,6000,1000,50,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,TyptII groundwater,Investor,Dec '87
AZ3,1987,AZ,18.5,18.5,18.5,370,370,370,16000,16000,864.8649,43.24324,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,TyptII groundwater,a greenhouse project,Dec '87
AZ4,1987,AZ,699,699,699,13980,13980,13980,436875,436875,625,31.25,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,a corporation,Developer,Dec'87
AZ5,1987,AZ,237,237,237,4740,4740,4740,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,TyptII groundwater,Developer,Feb ''87
AZ6,1987,AZ,240,240,240,4800,4800,4800,160000,160000,666.6667,33.33333,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Avra Valley,Tucson,Feb ''87
AZ7,1987,AZ,6200,6200,6200,124000,124000,124000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,ranches,Private entities,Jan'87
AZ8,1987,AZ,6200,6200,6200,124000,124000,124000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,ranches,Private entities,Jan'87
AZ9,1987,AZ,15000,15000,15000,300000,300000,300000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,ranches,Private entities,Jan'87
AZ10,1987,AZ,0,15000,30000,0,300000,600000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,La Paz County,Phoenix,Jan'87
AZ11,1987,AZ,0,15000,30000,0,300000,600000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,La Paz County,Phoenix,Jan'87
AZ12,1987,AZ,15000,15000,15000,300000,300000,300000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,ranches,Private entities,Jan'87
AZ13,1987,AZ,699,699,699,13980,13980,13980,699000,699000,1000,50,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,TyptII groundwater,Developer in phoenix,Mar'87
